,Gross domestic product (GDP) current prices,GDP per capita,Real change of GDP on previous year,Share of global economic output,Inflation rate,General government balance,General government gross debt (2006),General government gross debt
Argentina,545,20047,-2.3,0.7,15.0,-5.8,58.6,51.3
Australia,1259,48899,2.5,1.0,1.3,-2.7,10.0,41.1
Brazil,1799,15242,-3.6,2.6,8.7,-9.0,65.8,78.3
Canada,1529,46437,1.4,1.4,1.4,-1.9,70.1,92.3
China,11218,15399,6.7,17.8,2.0,-3.7,25.4,46.2
European Union,16408,39317,2.0,16.7,0.2,-1.8,59.8,85.8
France,2463,42314,1.2,2.3,0.3,-3.3,64.4,96.6
Germany,3467,48111,1.8,3.3,0.4,0.8,66.5,67.6
India,2256,6616,6.8,7.2,4.9,-6.6,77.1,69.5
Indonesia,932,11720,5.0,2.5,3.5,-2.5,35.8,27.9
Italy,1851,36833,0.9,1.9,-0.1,-2.4,102.6,132.6
Japan,4939,41275,1.0,4.4,-0.1,-4.2,184.3,239.2
Korea Republic of,1411,37740,2.8,1.6,1.0,0.3,29.3,38.6
Mexico,1046,18938,2.3,1.9,2.8,-2.9,37.8,58.1
Russian Federation,1281,26490,-0.2,3.2,7.0,-3.7,9.8,17.0
Saudi Arabia,640,55158,1.4,1.5,3.5,-16.9,25.8,12.4
South Africa,294,13225,0.3,0.6,6.3,-3.5,31.4,50.5
Turkey,857,24912,2.9,1.7,7.8,-2.3,44.7,29.1
United Kingdom,2629,42481,1.8,2.3,0.6,-3.1,41.0,89.2
United States,18569,57436,1.6,15.5,1.3,-4.4,64.2,107.4
