Comarca,Estacions,Gener,Febrer,Març,Abril,Maig,Juny
Alt Camp,Vila-rodona,111.0,0.2,51.5,148.1,44.3,69.4
Alt Empordà,Roses,183.3,2.1,31.3,234.3,27.1,32.4
Alt Penedès,la Granada,143.4,1.7,64.4,155.1,95.4,87.7
Alt Urgell,la Seu d'Urgell,100.9,0.4,69.1,57.7,65.7,133.8
Alta Ribagorça,el Pont de Suert,97.4,2.9,149.6,104.8,113.2,102.8
Anoia,els Hostalets de Pierola,89.2,0.7,67.6,158.8,80.8,116.5
Aran,Vielha e Mijaran,55.7,5.6,152.5,98.9,86.5,188.9
Bages,Sant Salvador de Guardiola,137.8,0.1,68.8,147.5,57.8,74.8
Baix Camp,Vinyols i els Arcs,164.8,1.3,50.4,122.8,78.9,71.6
Baix Ebre,el Perelló,254.5,4.0,49.2,171.1,57.8,31.6
Baix Empordà,la Bisbal d'Empordà,180.7,6.6,73.9,217.6,12.8,123.1
Baix Llobregat,el Prat de Llobregat,139.1,0.6,78.1,265.1,24.8,56.6
Baix Penedès,el Vendrell,98.7,1.5,55.7,159.5,18.7,59.9
Barcelonès,Barcelona - el Raval,120.4,1.4,46.9,261.0,18.9,47.7
Berguedà,la Quar,117.3,1.0,51.6,99.6,109.2,221.7
Cerdanya,Puigcerdà,103.4,0.7,51.1,52.1,70.8,89.2
Conca de Barberà,l'Espluga de Francolí,115.1,0.0,57.3,97.6,54.4,57.9
Garraf,Canyelles,120.6,1.7,60.0,156.9,26.2,81.5
Garrigues,la Granadella,131.8,0.6,24.2,91.3,89.3,59.5
Garrotxa,Olot,332.2,1.9,42.6,145.5,55.7,205.5
Gironès,Girona,253.5,9.4,75.2,215.1,25.5,144.4
Maresme,Cabrils,175.0,14.7,55.5,154.1,24.9,39.5
Moianès,Moià,,,,,,
Montsià,Amposta,164.2,0.9,75.1,238.2,37.0,42.7
Noguera,Vallfogona de Balaguer,85.8,1.6,57.2,81.9,61.0,40.4
Osona,Gurb,152.9,0.3,17.5,76.8,71.3,173.2
Pallars Jussà,la Pobla de Segur,68.7,0.1,81.1,101.4,80.7,117.8
Pallars Sobirà,Sort,85.3,1.2,114.4,67.3,73.7,161.8
Pla d'Urgell,Mollerussa,75.4,1.9,29.2,77.3,83.7,53.9
Pla de l'Estany,Banyoles,219.9,7.2,101.5,196.5,38.3,113.7
Priorat,Falset,255.4,0.8,50.6,133.5,105.3,41.3
Ribera d'Ebre,Vinebre,121.0,0.0,31.9,103.7,103.9,35.3
Ripollès,Sant Pau de Segúries,324.6,5.3,79.3,147.6,106.4,190.8
Segarra,Cervera,87.5,0.9,27.5,82.9,50.3,70.2
Segrià,Raimat,100.2,2.4,43.9,72.2,81.0,48.7
Selva,Anglès,280.2,4.9,76.0,201.1,81.9,123.9
Solsonès,Solsona,86.3,0.2,58.8,83.0,47.2,85.4
Tarragonès,Tarragona - Complex Educatiu,97.5,0.7,43.6,114.3,33.4,67.5
Terra Alta,Horta de St. Joan,317.1,0.5,133.5,142.2,148.1,44.5
Urgell,Tàrrega,86.6,0.8,29.5,122.8,74.9,105.0
Vallès Occidental,Sabadell - Parc Agrari,135.7,0.9,68.6,175.4,88.0,80.5
Vallès Oriental,Caldes de Montbui,116.2,0.6,46.5,168.2,71.6,59.9
