Comarca,Estacions,Juliol,Agost,Setembre,Octubre,Novembre,Desembre,Total
Alt Camp,Vila-rodona,0.6,88.5,109.0,12.5,58.1,8.7,701.9
Alt Empordà,Roses,9.8,11.2,41.3,58.8,52.9,9.7,694.2
Alt Penedès,la Granada,2.2,27.5,107.9,16.2,70.8,13.7,786.0
Alt Urgell,la Seu d'Urgell,20.6,44.7,36.4,37.4,55.0,10.8,632.5
Alta Ribagorça,el Pont de Suert,44.9,97.0,42.0,77.7,66.0,24.8,923.1
Anoia,els Hostalets de Pierola,1.5,32.1,43.4,12.4,59.1,9.4,671.5
Aran,Vielha e Mijaran,32.0,45.6,112.6,121.2,36.9,120.4,1056.8
Bages,Sant Salvador de Guardiola,9.7,47.5,24.9,12.8,58.8,11.0,651.5
Baix Camp,Vinyols i els Arcs,0.1,46.1,47.7,5.3,69.7,15.9,674.6
Baix Ebre,el Perelló,0.1,3.2,25.4,5.3,77.5,12.2,691.9
Baix Empordà,la Bisbal d'Empordà,7.0,15.1,12.5,52.6,59.4,16.7,778.0
Baix Llobregat,el Prat de Llobregat,35.8,46.0,124.3,50.8,51.3,46.2,918.7
Baix Penedès,el Vendrell,0.0,48.0,76.9,17.1,82.4,20.3,638.7
Barcelonès,Barcelona - el Raval,83.4,33.0,99.5,67.2,67.2,9.1,855.7
Berguedà,la Quar,130.8,194.1,81.3,58.0,63.2,11.5,1139.3
Cerdanya,Puigcerdà,35.9,74.9,63.3,47.6,50.6,25.1,664.7
Conca de Barberà,l'Espluga de Francolí,4.7,5.0,33.5,11.5,63.6,17.4,518.0
Garraf,Canyelles,0.3,31.2,77.8,19.2,64.6,28.1,668.1
Garrigues,la Granadella,3.6,1.1,15.8,24.1,100.9,28.1,570.3
Garrotxa,Olot,104.2,85.3,79.7,57.7,137.3,7.0,1254.6
Gironès,Girona,35.3,48.0,28.6,58.1,84.6,6.6,984.3
Maresme,Cabrils,14.0,44.8,67.3,65.4,49.2,5.6,710.0
Moianès,Moià,,,,,,,
Montsià,Amposta,0.0,4.4,15.6,9.8,83.4,7.0,678.3
Noguera,Vallfogona de Balaguer,9.2,1.2,22.2,15.2,61.8,20.8,458.3
Osona,Gurb,48.3,134.7,55.7,88.7,89.9,16.2,925.5
Pallars Jussà,la Pobla de Segur,61.1,41.1,25.9,55.0,58.9,13.9,705.7
Pallars Sobirà,Sort,38.0,51.2,37.1,92.7,49.4,25.9,798.0
Pla d'Urgell,Mollerussa,27.3,1.4,12.4,14.4,52.2,26.6,455.7
Pla de l'Estany,Banyoles,33.9,30.5,48.4,50.0,114.7,11.5,966.1
Priorat,Falset,1.1,11.0,11.8,16.6,119.7,22.5,769.6
Ribera d'Ebre,Vinebre,1.2,4.8,3.8,13.1,112.9,21.7,553.3
Ripollès,Sant Pau de Segúries,92.7,172.9,187.0,87.0,143.3,14.9,1551.8
Segarra,Cervera,6.7,13.0,17.9,22.4,45.8,17.0,442.1
Segrià,Raimat,1.7,17.8,5.8,19.8,74.1,33.0,500.6
Selva,Anglès,45.8,54.4,37.9,53.1,163.0,20.9,1143.1
Solsonès,Solsona,54.4,62.4,30.6,41.5,44.3,7.8,601.9
Tarragonès,Tarragona - Complex Educatiu,1.6,65.3,13.5,12.4,64.9,26.3,541.0
Terra Alta,Horta de St. Joan,9.0,3.4,7.7,12.0,209.2,25.6,1052.8
Urgell,Tàrrega,1.9,37.9,25.8,19.4,48.9,18.4,571.9
Vallès Occidental,Sabadell - Parc Agrari,13.0,83.6,39.4,29.3,67.2,65.6,847.2
Vallès Oriental,Caldes de Montbui,20.6,32.5,38.3,96.0,79.4,80.5,810.3
